annual_returns,log_returns,asset_prices,C|L|4800|60|10,C|S|5200|60|5,P|L|5000|60|8,C|S|5400|60|7,P|S|4600|60|6,C|L|5100|60|9
0.59,-0.53,2362.61,0.00,-0.00,21099.12,-0.00,-13424.34,0.00
1.20,0.18,5891.65,10916.53,-3458.26,0.00,-3441.57,-0.00,7124.88
1.01,0.01,5051.80,2517.98,-0.00,0.00,-0.00,-0.00,0.00
0.75,-0.29,3548.31,0.00,-0.00,11613.53,-0.00,-6310.15,0.00
0.93,-0.07,4649.23,0.00,-0.00,2806.12,-0.00,-0.00,0.00
0.91,-0.10,4513.68,0.00,-0.00,3890.59,-0.00,-517.94,0.00
1.09,0.08,5416.78,6167.84,-1083.92,0.00,-117.49,-0.00,2851.06
1.17,0.16,5783.59,9835.95,-2917.97,0.00,-2685.16,-0.00,6152.35
0.97,-0.03,4843.40,434.01,-0.00,1252.79,-0.00,-0.00,0.00
0.88,-0.13,4357.39,0.00,-0.00,5140.91,-0.00,-1455.69,0.00
1.08,0.08,5380.63,5806.25,-903.13,0.00,-0.00,-0.00,2525.63
0.98,-0.02,4913.42,1134.20,-0.00,692.64,-0.00,-0.00,0.00
1.07,0.06,5322.25,5222.53,-611.26,0.00,-0.00,-0.00,2000.28
1.19,0.18,5880.66,10806.64,-3403.32,0.00,-3364.65,-0.00,7025.97
1.34,0.29,6456.37,16563.72,-6281.86,0.00,-7394.60,-0.00,12207.35
1.48,0.39,6949.38,21493.80,-8746.90,0.00,-10845.66,-0.00,16644.42
1.17,0.16,5775.84,9758.39,-2879.20,0.00,-2630.87,-0.00,6082.55
0.95,-0.05,4750.42,0.00,-0.00,1996.67,-0.00,-0.00,0.00
1.23,0.21,6043.66,12436.59,-4218.29,0.00,-4505.61,-0.00,8492.93
0.70,-0.35,3243.15,0.00,-0.00,14054.77,-0.00,-8141.08,0.00
1.33,0.28,6419.74,16197.41,-6098.70,0.00,-7138.18,-0.00,11877.66
0.81,-0.22,3918.94,0.00,-0.00,8648.49,-0.00,-4086.37,0.00
0.66,-0.41,2928.04,0.00,-0.00,16575.70,-0.00,-10031.77,0.00
0.94,-0.07,4673.87,0.00,-0.00,2609.02,-0.00,-0.00,0.00
0.94,-0.07,4666.13,0.00,-0.00,2670.95,-0.00,-0.00,0.00
1.08,0.08,5395.86,5958.56,-979.28,0.00,-0.00,-0.00,2662.71
1.28,0.25,6234.28,14342.82,-5171.41,0.00,-5839.97,-0.00,10208.53
0.90,-0.11,4455.88,0.00,-0.00,4352.98,-0.00,-864.73,0.00
0.87,-0.14,4318.99,0.00,-0.00,5448.04,-0.00,-1686.03,0.00
1.10,0.09,5473.13,6731.33,-1365.66,0.00,-511.93,-0.00,3358.20
1.28,0.25,6247.34,14473.36,-5236.68,0.00,-5931.35,-0.00,10326.03
1.04,0.04,5198.53,3985.30,-0.00,0.00,-0.00,-0.00,886.77
1.03,0.03,5147.27,3472.72,-0.00,0.00,-0.00,-0.00,425.44
0.87,-0.14,4286.65,0.00,-0.00,5706.80,-0.00,-1880.10,0.00
1.12,0.11,5550.60,7506.01,-1753.01,0.00,-1054.21,-0.00,4055.41
1.02,0.02,5120.86,3208.60,-0.00,0.00,-0.00,-0.00,187.74
0.85,-0.16,4185.58,0.00,-0.00,6515.37,-0.00,-2486.53,0.00
1.33,0.29,6438.54,16385.37,-6192.69,0.00,-7269.76,-0.00,12046.84
0.86,-0.15,4244.09,0.00,-0.00,6047.27,-0.00,-2135.45,0.00
1.60,0.47,7363.77,25637.67,-10818.84,0.00,-13746.37,-0.00,20373.90
1.06,0.06,5288.91,4889.13,-444.57,0.00,-0.00,-0.00,1700.22
0.88,-0.13,4360.56,0.00,-0.00,5115.49,-0.00,-1436.62,0.00
0.99,-0.01,4926.48,1264.77,-0.00,588.18,-0.00,-0.00,0.00
0.99,-0.01,4952.20,1522.00,-0.00,382.40,-0.00,-0.00,0.00
0.97,-0.03,4831.39,313.86,-0.00,1348.91,-0.00,-0.00,0.00
0.75,-0.28,3586.47,0.00,-0.00,11308.27,-0.00,-6081.20,0.00
0.98,-0.02,4894.05,940.52,-0.00,847.58,-0.00,-0.00,0.00
1.01,0.01,5030.63,2306.33,-0.00,0.00,-0.00,-0.00,0.00
1.07,0.06,5319.45,5194.49,-597.25,0.00,-0.00,-0.00,1975.04
1.23,0.21,6033.79,12337.87,-4168.94,0.00,-4436.51,-0.00,8404.08
1.23,0.20,6020.11,12201.13,-4100.56,0.00,-4340.79,-0.00,8281.01
0.72,-0.33,3346.47,0.00,-0.00,13228.25,-0.00,-7521.19,0.00
0.78,-0.25,3740.84,0.00,-0.00,10073.31,-0.00,-5154.98,0.00
1.17,0.15,5774.29,9742.89,-2871.44,0.00,-2620.02,-0.00,6068.60
0.74,-0.31,3473.26,0.00,-0.00,12213.95,-0.00,-6760.46,0.00
1.18,0.16,5821.41,10214.07,-3107.04,0.00,-2949.85,-0.00,6492.66
1.08,0.07,5365.96,5659.59,-829.79,0.00,-0.00,-0.00,2393.63
0.85,-0.17,4167.34,0.00,-0.00,6661.31,-0.00,-2595.98,0.00
1.50,0.41,7033.66,22336.59,-9168.30,0.00,-11435.62,-0.00,17402.93
1.18,0.17,5835.89,10358.94,-3179.47,0.00,-3051.26,-0.00,6623.05
1.23,0.21,6035.66,12356.56,-4178.28,0.00,-4449.59,-0.00,8420.90
1.01,0.01,5028.19,2281.86,-0.00,0.00,-0.00,-0.00,0.00
1.43,0.35,6772.86,19728.64,-7864.32,0.00,-9610.05,-0.00,15055.78
0.74,-0.31,3467.14,0.00,-0.00,12262.91,-0.00,-6797.18,0.00
0.81,-0.21,3946.74,0.00,-0.00,8426.08,-0.00,-3919.56,0.00
1.43,0.36,6778.85,19788.47,-7894.24,0.00,-9651.93,-0.00,15109.62
1.07,0.07,5361.56,5615.58,-807.79,0.00,-0.00,-0.00,2354.02
1.36,0.31,6548.89,17488.92,-6744.46,0.00,-8042.24,-0.00,13040.03
0.95,-0.05,4768.96,0.00,-0.00,1848.33,-0.00,-0.00,0.00
0.79,-0.24,3797.28,0.00,-0.00,9621.80,-0.00,-4816.35,0.00
1.10,0.10,5493.62,6936.16,-1468.08,0.00,-655.31,-0.00,3542.54
0.97,-0.03,4862.77,627.73,-0.00,1097.81,-0.00,-0.00,0.00
0.95,-0.05,4743.52,0.00,-0.00,2051.82,-0.00,-0.00,0.00
0.70,-0.35,3244.70,0.00,-0.00,14042.38,-0.00,-8131.78,0.00
1.11,0.10,5522.89,7228.89,-1614.44,0.00,-860.22,-0.00,3806.00
1.17,0.16,5780.66,9806.58,-2903.29,0.00,-2664.60,-0.00,6125.92
1.47,0.39,6941.34,21413.44,-8706.72,0.00,-10789.41,-0.00,16572.10
0.94,-0.06,4702.53,0.00,-0.00,2379.80,-0.00,-0.00,0.00
1.42,0.35,6735.66,19356.62,-7678.31,0.00,-9349.63,-0.00,14720.96
1.18,0.17,5826.84,10268.44,-3134.22,0.00,-2987.91,-0.00,6541.60
1.35,0.30,6508.98,17089.79,-6544.90,0.00,-7762.85,-0.00,12680.81
1.22,0.19,5974.06,11740.62,-3870.31,0.00,-4018.43,-0.00,7866.56
1.16,0.15,5732.94,9329.41,-2664.70,0.00,-2330.59,-0.00,5696.47
1.02,0.02,5114.61,3146.13,-0.00,0.00,-0.00,-0.00,131.52
1.11,0.10,5509.21,7092.07,-1546.04,0.00,-764.45,-0.00,3682.87
1.33,0.29,6443.08,16430.82,-6215.41,0.00,-7301.57,-0.00,12087.73
0.80,-0.22,3893.51,0.00,-0.00,8851.89,-0.00,-4238.92,0.00
0.95,-0.05,4735.60,0.00,-0.00,2115.16,-0.00,-0.00,0.00
1.09,0.08,5412.21,6122.11,-1061.06,0.00,-85.48,-0.00,2809.90
0.88,-0.13,4357.97,0.00,-0.00,5136.28,-0.00,-1452.21,0.00
0.96,-0.04,4814.23,142.26,-0.00,1486.19,-0.00,-0.00,0.00
1.00,0.00,5013.32,2133.24,-0.00,0.00,-0.00,-0.00,0.00
1.05,0.05,5229.79,4297.86,-148.93,0.00,-0.00,-0.00,1168.07
1.21,0.19,5966.89,11668.90,-3834.45,0.00,-3968.23,-0.00,7802.01
0.99,-0.01,4926.04,1260.37,-0.00,591.70,-0.00,-0.00,0.00
1.27,0.24,6189.73,13897.32,-4948.66,0.00,-5528.12,-0.00,9807.59
1.11,0.10,5508.18,7081.77,-1540.89,0.00,-757.24,-0.00,3673.59
1.10,0.10,5499.08,6990.84,-1495.42,0.00,-693.59,-0.00,3591.75
0.96,-0.04,4805.80,58.01,-0.00,1553.60,-0.00,-0.00,0.00
0.87,-0.14,4291.46,0.00,-0.00,5668.32,-0.00,-1851.24,0.00
