asset_prices,C|L|4800|60|10,C|S|5200|60|5,P|L|5000|60|8,C|S|5400|60|7,P|S|4600|60|6,C|L|5100|60|9
4693.75,0.00,-0.00,2449.97,-0.00,-0.00,0.00
5245.35,4453.51,-226.76,0.00,-0.00,-0.00,1308.16
4909.29,1092.93,-0.00,725.66,-0.00,-0.00,0.00
5658.72,8587.24,-2293.62,0.00,-1811.07,-0.00,5028.52
5084.09,2840.86,-0.00,0.00,-0.00,-0.00,0.00
5128.82,3288.23,-0.00,0.00,-0.00,-0.00,259.41
5293.49,4934.88,-467.44,0.00,-0.00,-0.00,1741.40
5399.44,5994.41,-997.21,0.00,-0.00,-0.00,2694.97
5494.42,6944.18,-1472.09,0.00,-660.93,-0.00,3549.76
5615.33,8153.33,-2076.67,0.00,-1507.33,-0.00,4638.00
4443.41,0.00,-0.00,4452.73,-0.00,-939.55,0.00
4901.86,1018.65,-0.00,785.08,-0.00,-0.00,0.00
4944.04,1440.35,-0.00,447.72,-0.00,-0.00,0.00
4972.65,1726.51,-0.00,218.80,-0.00,-0.00,0.00
4291.53,0.00,-0.00,5667.80,-0.00,-1850.85,0.00
5155.28,3552.78,-0.00,0.00,-0.00,-0.00,497.50
5149.16,3491.60,-0.00,0.00,-0.00,-0.00,442.44
4797.52,0.00,-0.00,1619.85,-0.00,-0.00,0.00
5001.14,2011.44,-0.00,0.00,-0.00,-0.00,0.00
5564.78,7647.83,-1823.91,0.00,-1153.48,-0.00,4183.05
5207.52,4075.24,-37.62,0.00,-0.00,-0.00,967.72
4337.11,0.00,-0.00,5303.13,-0.00,-1577.34,0.00
5373.29,5732.91,-866.46,0.00,-0.00,-0.00,2459.62
5012.19,2121.87,-0.00,0.00,-0.00,-0.00,0.00
4860.24,602.36,-0.00,1118.12,-0.00,-0.00,0.00
5307.77,5077.66,-538.83,0.00,-0.00,-0.00,1869.89
4744.17,0.00,-0.00,2046.68,-0.00,-0.00,0.00
5363.62,5636.18,-818.09,0.00,-0.00,-0.00,2372.56
5148.50,3485.02,-0.00,0.00,-0.00,-0.00,436.51
6165.09,13650.86,-4825.43,0.00,-5355.60,-0.00,9585.77
5909.70,11096.96,-3548.48,0.00,-3567.87,-0.00,7287.26
4884.78,847.81,-0.00,921.75,-0.00,-0.00,0.00
4947.73,1477.31,-0.00,418.15,-0.00,-0.00,0.00
4949.04,1490.44,-0.00,407.65,-0.00,-0.00,0.00
4063.29,0.00,-0.00,7493.70,-0.00,-3220.27,0.00
4824.16,241.55,-0.00,1406.76,-0.00,-0.00,0.00
5180.77,3807.75,-0.00,0.00,-0.00,-0.00,726.97
4815.61,156.07,-0.00,1475.14,-0.00,-0.00,0.00
5115.97,3159.69,-0.00,0.00,-0.00,-0.00,143.72
4971.35,1713.51,-0.00,229.19,-0.00,-0.00,0.00
4588.22,0.00,-0.00,3294.26,-0.00,-70.69,0.00
4704.02,0.00,-0.00,2367.87,-0.00,-0.00,0.00
5157.23,3572.31,-0.00,0.00,-0.00,-0.00,515.08
5435.21,6352.05,-1176.03,0.00,-246.44,-0.00,3016.85
5008.84,2088.43,-0.00,0.00,-0.00,-0.00,0.00
4806.97,69.70,-0.00,1544.24,-0.00,-0.00,0.00
5017.28,2172.85,-0.00,0.00,-0.00,-0.00,0.00
4599.08,0.00,-0.00,3207.39,-0.00,-5.54,0.00
5112.85,3128.51,-0.00,0.00,-0.00,-0.00,115.65
4293.71,0.00,-0.00,5650.29,-0.00,-1837.72,0.00
5158.86,3588.62,-0.00,0.00,-0.00,-0.00,529.76
5124.18,3241.80,-0.00,0.00,-0.00,-0.00,217.62
4885.43,854.27,-0.00,916.58,-0.00,-0.00,0.00
4714.65,0.00,-0.00,2282.78,-0.00,-0.00,0.00
5085.03,2850.27,-0.00,0.00,-0.00,-0.00,0.00
5292.64,4926.38,-463.19,0.00,-0.00,-0.00,1733.74
4931.28,1312.83,-0.00,549.74,-0.00,-0.00,0.00
4720.99,0.00,-0.00,2232.05,-0.00,-0.00,0.00
4916.47,1164.72,-0.00,668.22,-0.00,-0.00,0.00
5772.18,9721.84,-2860.92,0.00,-2605.29,-0.00,6049.66
5914.27,11142.67,-3571.34,0.00,-3599.87,-0.00,7328.41
5109.08,3090.75,-0.00,0.00,-0.00,-0.00,81.68
4688.74,0.00,-0.00,2490.07,-0.00,-0.00,0.00
5464.26,6642.58,-1321.29,0.00,-449.80,-0.00,3278.32
4373.78,0.00,-0.00,5009.78,-0.00,-1357.34,0.00
4195.65,0.00,-0.00,6434.81,-0.00,-2426.11,0.00
5463.00,6630.00,-1315.00,0.00,-441.00,-0.00,3267.00
4789.41,0.00,-0.00,1684.73,-0.00,-0.00,0.00
5498.93,6989.34,-1494.67,0.00,-692.54,-0.00,3590.41
4309.20,0.00,-0.00,5526.39,-0.00,-1744.79,0.00
