asset_prices,C|L|5000|60|5,C|S|5500|60|5,P|L|5500|60|5,P|S|5000|60|5
5288.50,1442.50,-0.00,1057.50,-0.00
4501.43,0.00,-0.00,4992.83,-2492.83
4685.23,0.00,-0.00,4073.84,-1573.84
5189.00,944.98,-0.00,1555.02,-0.00
5175.96,879.80,-0.00,1620.20,-0.00
5114.18,570.91,-0.00,1929.09,-0.00
5085.00,425.02,-0.00,2074.98,-0.00
4703.03,0.00,-0.00,3984.83,-1484.83
5048.82,244.10,-0.00,2255.90,-0.00
5641.03,3205.17,-705.17,0.00,-0.00
5258.97,1294.86,-0.00,1205.14,-0.00
5259.30,1296.52,-0.00,1203.48,-0.00
5039.50,197.51,-0.00,2302.49,-0.00
5031.81,159.03,-0.00,2340.97,-0.00
4848.77,0.00,-0.00,3256.15,-756.15
6260.88,6304.38,-3804.38,0.00,-0.00
5539.04,2695.21,-195.21,0.00,-0.00
4852.19,0.00,-0.00,3239.04,-739.04
5626.36,3131.80,-631.80,0.00,-0.00
5077.54,387.70,-0.00,2112.30,-0.00
4916.51,0.00,-0.00,2917.46,-417.46
5230.99,1154.93,-0.00,1345.07,-0.00
4197.18,0.00,-0.00,6514.09,-4014.09
4579.83,0.00,-0.00,4600.84,-2100.84
4948.89,0.00,-0.00,2755.56,-255.56
5447.33,2236.63,-0.00,263.37,-0.00
5275.81,1379.07,-0.00,1120.93,-0.00
5286.61,1433.06,-0.00,1066.94,-0.00
5025.09,125.47,-0.00,2374.53,-0.00
5789.35,3946.73,-1446.73,0.00,-0.00
5278.12,1390.62,-0.00,1109.38,-0.00
4701.96,0.00,-0.00,3990.20,-1490.20
5510.07,2550.34,-50.34,0.00,-0.00
4801.63,0.00,-0.00,3491.87,-991.87
5535.44,2677.20,-177.20,0.00,-0.00
5456.32,2281.60,-0.00,218.40,-0.00
5212.28,1061.41,-0.00,1438.59,-0.00
5072.63,363.14,-0.00,2136.86,-0.00
4670.29,0.00,-0.00,4148.56,-1648.56
5467.06,2335.28,-0.00,164.72,-0.00
4397.14,0.00,-0.00,5514.29,-3014.29
5149.56,747.82,-0.00,1752.18,-0.00
4448.95,0.00,-0.00,5255.24,-2755.24
5003.56,17.79,-0.00,2482.21,-0.00
5364.00,1820.02,-0.00,679.98,-0.00
5217.45,1087.25,-0.00,1412.75,-0.00
5707.10,3535.49,-1035.49,0.00,-0.00
5136.86,684.32,-0.00,1815.68,-0.00
5613.67,3068.37,-568.37,0.00,-0.00
5220.31,1101.54,-0.00,1398.46,-0.00
5162.97,814.84,-0.00,1685.16,-0.00
5438.69,2193.45,-0.00,306.55,-0.00
4886.47,0.00,-0.00,3067.66,-567.66
5186.01,930.03,-0.00,1569.97,-0.00
5495.29,2476.44,-0.00,23.56,-0.00
5547.54,2737.72,-237.72,0.00,-0.00
5802.42,4012.11,-1512.11,0.00,-0.00
4948.77,0.00,-0.00,2756.14,-256.14
4689.33,0.00,-0.00,4053.37,-1553.37
5205.37,1026.83,-0.00,1473.17,-0.00
4874.19,0.00,-0.00,3129.06,-629.06
5394.52,1972.58,-0.00,527.42,-0.00
4888.95,0.00,-0.00,3055.23,-555.23
5766.03,3830.16,-1330.16,0.00,-0.00
5130.69,653.46,-0.00,1846.54,-0.00
5034.59,172.93,-0.00,2327.07,-0.00
5153.12,765.62,-0.00,1734.38,-0.00
4737.50,0.00,-0.00,3812.52,-1312.52
4823.80,0.00,-0.00,3380.98,-880.98
5217.50,1087.49,-0.00,1412.51,-0.00
4606.62,0.00,-0.00,4466.90,-1966.90
4358.98,0.00,-0.00,5705.11,-3205.11
5006.02,30.08,-0.00,2469.92,-0.00
4567.83,0.00,-0.00,4660.84,-2160.84
4433.26,0.00,-0.00,5333.72,-2833.72
5224.91,1124.56,-0.00,1375.44,-0.00
4994.27,0.00,-0.00,2528.66,-28.66
4627.20,0.00,-0.00,4364.01,-1864.01
4443.95,0.00,-0.00,5280.23,-2780.23
5233.16,1165.80,-0.00,1334.20,-0.00
6625.39,8126.94,-5626.94,0.00,-0.00
4716.99,0.00,-0.00,3915.05,-1415.05
4643.89,0.00,-0.00,4280.53,-1780.53
5042.98,214.90,-0.00,2285.10,-0.00
5193.53,967.64,-0.00,1532.36,-0.00
5417.33,2086.65,-0.00,413.35,-0.00
5053.79,268.95,-0.00,2231.05,-0.00
5398.75,1993.75,-0.00,506.25,-0.00
5020.20,100.99,-0.00,2399.01,-0.00
4783.81,0.00,-0.00,3580.94,-1080.94
5144.85,724.24,-0.00,1775.76,-0.00
4419.16,0.00,-0.00,5404.20,-2904.20
5579.05,2895.24,-395.24,0.00,-0.00
4657.43,0.00,-0.00,4212.87,-1712.87
5224.56,1122.79,-0.00,1377.21,-0.00
5003.65,18.24,-0.00,2481.76,-0.00
5402.39,2011.96,-0.00,488.04,-0.00
4785.42,0.00,-0.00,3572.92,-1072.92
